,total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,total_stake_borrow,total_stake_collateral,total_external_stake_lending,weighted_crypto_rate,weighted_stablecoin_rate,weighted_stake_rate,date
284,592078460.312149,1003034583.2085634,253070962.1745966,642931977.3750325,128564238.27473497,620901949.6739186,36962785.08883664,1560089030.7804332,40725906.10073734,0.012632893672141867,0.041844278690487215,0.0009603406252718177,2023-11-12
285,591069552.4230374,1025380502.399332,194415933.39697537,656306251.9417086,135326677.62129432,613977196.9169652,35832113.46882138,1573946275.4468129,52264044.64283911,0.013329408842955203,0.08992613836340173,0.0006483641318864357,2023-11-13
286,587162415.1406338,1036150526.328724,204071294.04928482,664302601.7741206,132709919.78088224,626333352.2804291,36035205.84918369,1571068799.3572028,52328256.69671196,0.013164082752150811,0.08958731042065209,0.0006224172443942376,2023-11-14
287,623220585.0905516,1114177563.3328848,193622675.49541852,676320669.7220838,128718617.57066296,646763596.7739682,33655965.67234102,1616330426.7082522,52195191.92786684,0.012791329321145944,0.07895826211752045,0.0005808353753533839,2023-11-15
288,656186281.0465136,1063976743.5310637,226762662.0571621,692290459.776192,127241046.32681394,666955150.0591291,33137053.08190801,1695189309.08182,51919922.5370914,0.013522395964219567,0.07777864665635859,0.0007590520834277486,2023-11-16
289,672703126.9691653,1077815956.8423922,225454807.46049494,701185381.2577236,132838931.57611148,674970290.7523367,33752524.48903977,1722096447.2659001,58933627.39256264,0.013994955532912329,0.05989611049020037,0.0007418116908688775,2023-11-17
290,680856867.6205478,1082618865.9632838,223443876.15030816,704113836.4449869,133743445.00366925,681360872.268518,34123206.86824902,1725798908.0023072,53706857.47950179,0.014261148839330544,0.039611417277145684,0.0008478493971460975,2023-11-18
291,689281583.3175105,1091736956.682512,193926587.88817984,706959145.072956,132162928.69679855,681318691.6778681,34765213.40719325,1743230301.6668878,54713015.40620123,0.01466081342271588,0.06375505556555244,0.0007791287878069917,2023-11-19
292,691747837.6254617,1110899083.2642865,178954546.9277331,710268459.7373786,143470933.65681,671625354.6208785,34702750.8494833,1753802027.028701,54389128.38425286,0.014443655408112956,0.06805984225265443,0.0007557960928011924,2023-11-20
293,632541972.5532358,1116093870.911718,177038482.59341967,709291171.660331,139583029.2968952,685857696.8246539,35380924.29423498,1672394189.8894339,54220394.20246795,0.012567033631614506,0.04523921354098158,0.0008091848432967291,2023-11-21
294,699115468.739053,1106792526.2183464,181042264.6615001,714404613.3063895,144422326.2979105,691431767.3982638,35558182.98739706,1744655324.5164773,54316776.75758163,0.014874657954267526,0.037978457056985396,0.0007429916689143676,2023-11-22
295,694615152.6514782,1112816630.6278334,181316613.4586594,722068346.8460729,139482423.5233536,691468671.9387206,35010049.05298176,1732634163.6844823,64289449.19581197,0.014652587393062548,0.06554488148084357,0.0006129727509000422,2023-11-23
296,708596613.0192006,1099670612.6670065,185720563.95795667,712407738.5122,143963397.0551805,707522560.010065,36275828.87625265,1742680727.3479474,54650735.84270852,0.015374108465999679,0.03478138385096903,0.0007452373607264687,2023-11-24
297,706673142.7302537,1100834794.597436,182836300.43957755,718421160.5153004,137893604.65598476,701822901.4357334,35725604.478911586,1750506492.0002496,54240163.21167574,0.015221414705255593,0.04493321976940571,0.0006953292493476907,2023-11-25
298,694929145.5956509,1093993239.564681,195402540.81813318,720919840.2411814,137685397.686979,692367072.1793772,36452263.200167544,1738042283.1105578,61875382.870384075,0.013865306847244024,0.06057667810480601,0.00062495020464304,2023-11-26
299,700949138.508278,1109894383.3569963,191498649.43119785,723854861.512232,137790760.15744644,692074403.8513477,36186852.097159415,1745072754.0205548,54881096.54824215,0.014168280179789184,0.05584546473650683,0.0006827783156375822,2023-11-27
300,704508387.1265177,1114183919.7454085,194698103.3741807,730096687.30789,137004284.8096793,697428401.9661309,36071114.706630744,1753987092.936805,55030988.98925432,0.01395849866625028,0.05652391200270513,0.00063660624627751,2023-11-28
301,698584565.8143075,1117404436.179741,198656539.87456968,733988545.3973991,135226696.47042134,705978135.6349032,35091808.35373315,1748608923.2171264,54473564.011301525,0.013626756486390232,0.03786721225777079,0.0006422568718635967,2023-11-29
302,719867145.3977617,1152420568.2734616,197433468.19777074,758059281.9075394,135609738.43308583,699302275.0554147,35139922.64941904,1785540121.757333,54347785.7663425,0.01351459605832226,0.08053816446426894,0.000652172166732392,2023-11-30
303,722172901.234389,1161785288.1399486,195684162.13682994,759406601.5625188,142882987.11989987,691337743.5048652,35121456.39253976,1779995590.1994221,54402194.19347888,0.013620560038785952,0.09906334149940643,0.0006513251614901439,2023-12-01
