total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,weighted_crypto_rate,weighted_stablecoin_rate,date,day
656876550.7628933,2730507990.0411167,245817867.42328513,676320669.7220838,128718617.57066296,646763596.7739682,0.0101986411585021,0.0789582621175204,2023-11-15,287
689323334.1284224,2759166052.612867,278682584.59425354,692290459.776192,127241046.32681394,666955150.0591291,0.0111445228489339,0.0777786466563585,2023-11-16,288
706455651.4582047,2799912404.108298,284388434.8530574,701185381.2577236,132838931.57611148,674970290.7523367,0.0112485152939814,0.0598961104902003,2023-11-17,289
714980074.4887955,2808417773.965593,277150733.62981,704113836.4449869,133743445.00366925,681360872.268518,0.0116618912005847,0.0396114172771456,2023-11-18,290
724046796.7247037,2834967258.349396,248639603.29438135,706959145.072956,132162928.69679856,681318691.6778681,0.0116061559376226,0.0637550555655524,2023-11-19,291
726450588.4749445,2864701110.292985,233343675.31198603,710268459.7373786,143470933.65681,671625354.6208785,0.0112532079421136,0.0680598422526544,2023-11-20,292
667922896.8474704,2788488060.801143,231258876.7958878,709291171.660331,139583029.2968952,685857696.8246539,0.0098103169809568,0.0452392135409815,2023-11-21,293
734673651.7264494,2851447850.7348156,235359041.41908225,714404613.3063895,144422326.2979105,691431767.3982638,0.011613314951653,0.0379784570569853,2023-11-22,294
729625201.7044603,2845450794.312311,245606062.65447143,722068346.8460729,139482423.5233536,691468671.9387206,0.0109776003731537,0.0655448814808435,2023-11-23,295
744872441.8954535,2842351340.014957,240371299.80066493,712407738.5122,143963397.0551805,707522560.010065,0.0120480933755362,0.034781383850969,2023-11-24,296
742398747.2091656,2851341286.5976877,237076463.65125304,718421160.5153004,137893604.65598476,701822901.4357334,0.0118980259815473,0.0449332197694057,2023-11-25,297
731381408.7958182,2832035522.67524,257277923.6885171,720919840.2411814,137685397.686979,692367072.1793772,0.0106809989017507,0.060576678104806,2023-11-26,298
737135990.6054367,2854967137.377556,246379745.9794401,723854861.512232,137790760.15744644,692074403.8513477,0.0111643841944845,0.0558454647365068,2023-11-27,299
740579501.8331486,2868171012.6822114,249729092.3634348,730096687.30789,137004284.8096793,697428401.9661309,0.0110228498471986,0.0565239120027051,2023-11-28,300
733676374.1680405,2866013359.396878,253130103.88587132,733988545.3973991,135226696.47042134,705978135.6349032,0.0108324939310936,0.0378672122577707,2023-11-29,301
755007068.0471807,2937960690.030795,251781253.96411267,758059281.9075394,135609738.43308583,699302275.0554147,0.0107382008855678,0.0805381644642689,2023-11-30,302
757294357.6269287,2941780878.339369,250086356.3303087,759406601.5625188,142882987.11989987,691337743.5048652,0.010799315230838,0.0990633414994064,2023-12-01,303
776660070.4149755,3012707996.922804,262217416.1027828,764928515.3622502,151207502.11528173,716810502.897423,0.0103925797058736,0.0437052920469938,2023-12-02,304
